Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Falling_B,0,0,11,obj2,318.42744301161866,459.7646368624762
Falling_B,0,1,11,obj1,285.3934886658068,378.38665663495385
Falling_B,0,2,11,obj2,285.3934886658068,378.38665663495385
Falling_B,0,3,11,obj2,292.6703768100232,442.16526431722883
Falling_B,0,4,11,obj2,308.797245380444,438.8760546900037
Falling_B,0,5,11,obj2,304.87534,396.44412
Falling_B,0,6,11,obj3,288.03024276405364,546.1151358943545
Falling_B,0,7,11,obj2,288.03024276405364,546.1151358943545
Falling_B,0,8,11,obj1,288.03024276405364,546.1151358943545
Falling_B,0,9,11,obj2,288.03024276405364,546.1151358943545
Falling_B,0,10,11,obj1,285.3934886658068,378.38665663495385
Falling_B,1,0,9,obj1,302.61689015456926,438.2400327919737
Falling_B,1,1,9,obj2,277.4052461136157,548.9757666330983
Falling_B,1,2,9,obj1,277.4052461136157,548.9757666330983
Falling_B,1,3,9,obj2,277.4052461136157,548.9757666330983
Falling_B,1,4,9,obj2,290.2610419960222,346.07682540517504
Falling_B,1,5,9,obj2,296.59490448365636,542.9745580143516
Falling_B,1,6,9,obj1,296.59490448365636,542.9745580143516
Falling_B,1,7,9,obj2,296.59490448365636,542.9745580143516
Falling_B,1,8,9,obj2,226.66920565325464,493.25302243852616
Falling_B,2,0,5,obj2,300.43739405855666,464.31556217313346
Falling_B,2,1,5,obj2,312.01861261076175,343.72820670860665
Falling_B,2,2,5,obj2,304.87534,396.44412
Falling_B,2,3,5,obj1,309.94485,527.425
Falling_B,2,4,5,obj2,368.86528881099093,356.05200771966616
Falling_B,3,0,1,obj2,220.3167054672169,403.62492316550026
Falling_B,4,0,4,obj2,244.06206949718683,430.3187351341725
Falling_B,4,1,4,obj1,303.1428016824651,491.83852649203214
Falling_B,4,2,4,obj2,303.1428016824651,491.83852649203214
Falling_B,4,3,4,obj2,218.86528881099088,484.72995886585517
Falling_B,5,0,1,obj2,220.3167054672169,551.8750942744117
Falling_B,6,0,5,obj2,300.57279917123856,340.1483071933665
Falling_B,6,1,5,obj2,304.87534,396.44412
